Words,freq,No_Match,Entered
also,8,0,1
am,8,0,1
arbeit,8,0,1
beginnen,8,0,1
bekannt,8,0,1
bekommen,8,0,1
besonders,8,0,1
bestehen,8,0,1
bieten,8,0,1
bild,8,0,1
bisher,8,0,1
d-halber,8,1,0
dafür,8,0,1
darauf,8,0,1
davon,8,0,1
dazu,8,0,1
derzeit,8,0,1
deutlich,8,0,1
dienstag,8,0,1
donnerstag,8,0,1
dort,8,0,1
eigen,8,0,1
einfach,8,0,1
einig-,8,1,0
einmal,8,0,1
ende,8,0,1
erfolg,8,0,1
erhalten,8,0,1
etwa,8,0,1
etwas,8,0,1
fahren,8,0,1
fall,8,0,1
familie,8,0,1
fast,8,0,1
feiern,8,0,1
folgen,8,0,1
foto,8,0,1
frage,8,0,1
frei,8,0,1
freitag,8,0,1
früh,8,0,1
führen,8,0,1
fünf,8,0,1
fußball,8,0,1
gar,8,0,1
gast,8,0,1
gehören,8,0,1
geld,8,0,1
gelten,8,0,1
gemeinde,8,0,1
gemeinsam,8,0,1
geschichte,8,0,1
gestern,8,0,1
gewinnen,8,0,1
gleich,8,0,1
grund,8,0,1
gruppe,8,0,1
halten,8,0,1
haus,8,0,1
heißen,8,0,1
international,8,0,1
ja,8,0,1
jedoch,8,0,1
juni,8,0,1
kurz,8,0,1
lang,8,0,1
lange,8,0,1
lass,8,0,1
lassen,8,0,1
leben,8,0,1
mai,8,0,1
mal,8,0,1
mannschaft,8,0,1
mark,8,0,1
mein,8,0,1
meinen,8,0,1
meist,8,0,1
meter,8,0,1
minute,8,0,1
mitglied,8,0,1
mittwoch,8,0,1
mögen,8,0,1
möglich,8,0,1
monat,8,0,1
montag,8,0,1
nah,8,0,1
natürlich,8,0,1
neben,8,0,1
nehmen,8,0,1
nichts,8,0,1
ob,8,0,1
platz,8,0,1
politisch,8,0,1
polizei,8,0,1
präsident,8,0,1
problem,8,0,1
programm,8,0,1
projekt,8,0,1
punkt,8,0,1
regierung,8,0,1
samstag,8,0,1
schaffen,8,0,1
schnell,8,0,1
schule,8,0,1
schwer,8,0,1
sechs,8,0,1
seite,8,0,1
september,8,0,1
sieg,8,0,1
sogar,8,0,1
solch-,8,1,0
sondern,8,0,1
sonntag,8,0,1
später,8,0,1
spiel,8,0,1
spielen,8,0,1
sprechen,8,0,1
stark,8,0,1
stattfinden,8,0,1
stellen,8,0,1
straße,8,0,1
stunde,8,0,1
team,8,0,1
teil,8,0,1
thema,8,0,1
treffen,8,0,1
tun,8,0,1
unser,8,0,1
unternehmen,8,0,1
verein,8,0,1
vergangen,8,0,1
vier,8,0,1
während,8,0,1
we-,8,1,0
weg,8,0,1
wegen,8,0,1
weiß,8,0,1
welch-,8,1,0
welt,8,0,1
wenig,8,0,1
weniger,8,0,1
wichtig,8,0,1
wo,8,0,1
wohl,8,0,1
zehn,8,0,1
ziel,8,0,1
zwar,8,0,1
abend,9,0,1
acht,9,0,1
ag,9,0,1
aktion,9,0,1
aktiv,9,0,1
aktuell,9,0,1
allein,9,0,1
amerikanisch,9,0,1
amt,9,0,1
anbieten,9,0,1
anfang,9,0,1
angabe,9,0,1
angebot,9,0,1
april,9,0,1
arbeiten,9,0,1
art,9,0,1
aufgabe,9,0,1
auge,9,0,1
august,9,0,1
außerdem,9,0,1
ausstellung,9,0,1
auto,9,0,1
bahn,9,0,1
bald,9,0,1
bank,9,0,1
bauen,9,0,1
befinden,9,0,1
beginn,9,0,1
beispiel,9,0,1
bereich,9,0,1
bericht,9,0,1
berichten,9,0,1
berichtet,9,0,1
besonder-,9,1,0
bestimmt,9,0,1
besucher,9,0,1
betont,9,0,1
betrieb,9,0,1
bislang,9,0,1
blick,9,0,1
brauchen,9,0,1
buch,9,0,1
bühne,9,0,1
bund,9,0,1
bürger,9,0,1
bürgermeister,9,0,1
chance,9,0,1
chef,9,0,1
dagegen,9,0,1
daher,9,0,1
damals,9,0,1
danach,9,0,1
daran,9,0,1
darüber,9,0,1
denken,9,0,1
dennoch,9,0,1
deren,9,0,1
dezember,9,0,1
direkt,9,0,1
dollar,9,0,1
dritt,9,0,1
drohen,9,0,1
du,9,0,1
eben,9,0,1
ebenfalls,9,0,1
ebenso,9,0,1
ehemalig,9,0,1
eher,9,0,1
eigentlich,9,0,1
einladen,9,0,1
einsatz,9,0,1
einsetzen,9,0,1
einzeln,9,0,1
einzig,9,0,1
eltern,9,0,1
entscheiden,9,0,1
entscheidung,9,0,1
entsprechen,9,0,1
entstehen,9,0,1
entwicklung,9,0,1
erfolgreich,9,0,1
ergebnis,9,0,1
erklären,9,0,1
erklärt,9,0,1
erneut,9,0,1
erreichen,9,0,1
erscheinen,9,0,1
erstmals,9,0,1
erwarten,9,0,1
erzählen,9,0,1
europäisch,9,0,1
februar,9,0,1
fehlen,9,0,1
fest,9,0,1
film,9,0,1
firma,9,0,1
folge,9,0,1
fordern,9,0,1
fragen,9,0,1
französisch,9,0,1
freuen,9,0,1
freund,9,0,1
führung,9,0,1
gegeben,9,0,1
gegenüber,9,0,1
genau,9,0,1
geplant,9,0,1
gerade,9,0,1
gericht,9,0,1
gern,9,0,1
gesamt,9,0,1
geschäft,9,0,1
gesellschaft,9,0,1
gespräch,9,0,1
glauben,9,0,1
grüne,9,0,1
hand,9,0,1
handeln,9,0,1
helfen,9,0,1
herr,9,0,1
hilfe,9,0,1
hin,9,0,1
hinter,9,0,1
hoffen,9,0,1
höhe,9,0,1
idee,9,0,1
information,9,0,1
insgesamt,9,0,1
interesse,9,0,1
internet,9,0,1
inzwischen,9,0,1
jahrhundert,9,0,1
januar,9,0,1
je,9,0,1
jen-,9,1,0
jeweils,9,0,1
jugend,9,0,1
jugendlich,9,0,1
juli,9,0,1
kampf,9,0,1
kaum,9,0,1
kennen,9,0,1
kilometer,9,0,1
kirche,9,0,1
klar,9,0,1
klasse,9,0,1
knapp,9,0,1
konzert,9,0,1
kopf,9,0,1
kosten,9,0,1
kraft,9,0,1
kreis,9,0,1
krieg,9,0,1
kunde,9,0,1
künftig,9,0,1
kunst,9,0,1
laufen,9,0,1
laut,9,0,1
legen,9,0,1
leicht,9,0,1
leistung,9,0,1
lernen,9,0,1
leute,9,0,1
lieb,9,0,1
mädchen,9,0,1
manch-,9,1,0
markt,9,0,1
märz,9,0,1
mehrer-,9,1,0
milliarde,9,0,1
mitarbeiter,9,0,1
mitte,9,0,1
mitteilen,9,0,1
möglichkeit,9,0,1
musik,9,0,1
mutter,9,0,1
nachdem,9,0,1
nacht,9,0,1
name,9,0,1
nämlich,9,0,1
nennen,9,0,1
nie,9,0,1
november,9,0,1
nutzen,9,0,1
obwohl,9,0,1
offen,9,0,1
öffentlich,9,0,1
öffnen,9,0,1
oft,9,0,1
oktober,9,0,1
opfer,9,0,1
ort,9,0,1
partei,9,0,1
per,9,0,1
person,9,0,1
persönlich,9,0,1
plan,9,0,1
planen,9,0,1
politik,9,0,1
politiker,9,0,1
positiv,9,0,1
präsentieren,9,0,1
preis,9,0,1
privat,9,0,1
pro,9,0,1
publikum,9,0,1
rahmen,9,0,1
raum,9,0,1
rechnen,9,0,1
recht,9,0,1
region,9,0,1
richtig,9,0,1
richtung,9,0,1
rolle,9,0,1
rot,9,0,1
sache,9,0,1
saison,9,0,1
scheinen,9,0,1
schlagen,9,0,1
schlecht,9,0,1
schließlich,9,0,1
schön,9,0,1
schreiben,9,0,1
schüler,9,0,1
setzen,9,0,1
sicher,9,0,1
sieben,9,0,1
situation,9,0,1
sitzen,9,0,1
sommer,9,0,1
sorgen,9,0,1
sozial,9,0,1
spieler,9,0,1
staat,9,0,1
starten,9,0,1
statt,9,0,1
steigen,9,0,1
stelle,9,0,1
sterben,9,0,1
stimme,9,0,1
stück,9,0,1
suchen,9,0,1
telefon,9,0,1
theater,9,0,1
titel,9,0,1
tor,9,0,1
tragen,9,0,1
trainer,9,0,1
trotz,9,0,1
überhaupt,9,0,1
übernehmen,9,0,1
unsr-,9,1,0
unterstützen,9,0,1
vater,9,0,1
veranstaltung,9,0,1
verfügung,9,0,1
verletzen,9,0,1
verlieren,9,0,1
verloren,9,0,1
verschieden,9,0,1
verstehen,9,0,1
versuchen,9,0,1
vielen,9,0,1
vielleicht,9,0,1
voll,9,0,1
völlig,9,0,1
vorsehen,9,0,1
vorsitzende,9,0,1
vorstand,9,0,1
vorstellen,9,0,1
wahl,9,0,1
wählen,9,0,1
warten,9,0,1
warum,9,0,1
wasser,9,0,1
werk,9,0,1
wert,9,0,1
wirklich,9,0,1
wirtschaft,9,0,1
wissen,9,0,1
wm,9,0,1
wochenende,9,0,1
wort,9,0,1
zahl,9,0,1
zählen,9,0,1
zahlreich,9,0,1
zeitung,9,0,1
ziehen,9,0,1
zudem,9,0,1
zukunft,9,0,1
zuletzt,9,0,1
zunächst,9,0,1
zunehmen,9,0,1
zurück,9,0,1
zusammen,9,0,1
zusätzlich,9,0,1
zuschauer,9,0,1
zuvor,9,0,1
abgeben,10,0,1
abgeordnete,10,0,1
abhaben,10,0,1
ablehnen,10,0,1
abschließen,10,0,1
abschluss,10,0,1
absolut,10,0,1
ähnlich,10,0,1
aktie,10,0,1
allgemein,10,0,1
alte,10,0,1
alter,10,0,1
ändern,10,0,1
anders,10,0,1
angeblich,10,0,1
angesichts,10,0,1
angriff,10,0,1
angst,10,0,1
ankündigen,10,0,1
anlage,10,0,1
anlass,10,0,1
anmeldung,10,0,1
anschließend,10,0,1
ansicht,10,0,1
anspruch,10,0,1
anteil,10,0,1
antrag,10,0,1
antreten,10,0,1
antwort,10,0,1
arbeitsplatz,10,0,1
arzt,10,0,1
aufbauen,10,0,1
auffordern,10,0,1
aufgrund,10,0,1
aufnehmen,10,0,1
auftrag,10,0,1
auftreten,10,0,1
auftritt,10,0,1
ausbildung,10,0,1
ausgabe,10,0,1
ausgehen,10,0,1
ausland,10,0,1
aussage,10,0,1
aussehen,10,0,1
außer,10,0,1
äußern,10,0,1
autor,10,0,1
bad,10,0,1
bahnhof,10,0,1
ball,10,0,1
band,10,0,1
bau,10,0,1
bauer,10,0,1
baum,10,0,1
bayern,10,0,1
beamter,10,0,1
bedeuten,10,0,1
bedeutung,10,0,1
beenden,10,0,1
begleiten,10,0,1
behörde,10,0,1
beispielsweise,10,0,1
beitrag,10,0,1
beitragen,10,0,1
bereit,10,0,1
beruf,10,0,1
beschäftigt,10,0,1
beschließen,10,0,1
beschreiben,10,0,1
bessern,10,0,1
bestätigen,10,0,1
besuch,10,0,1
besuchen,10,0,1
beteiligen,10,0,1
betragen,10,0,1
betroffen,10,0,1
bevölkerung,10,0,1
bevor,10,0,1
bewegung,10,0,1
beweisen,10,0,1
bezahlen,10,0,1
bezeichnen,10,0,1
beziehung,10,0,1
bezirk,10,0,1
bilden,10,0,1
bisherig,10,0,1
bisschen,10,0,1
bitten,10,0,1
boden,10,0,1
breit,10,0,1
brief,10,0,1
britisch,10,0,1
bruder,10,0,1
bundesliga,10,0,1
bundesregierung,10,0,1
bundestag,10,0,1
bunt,10,0,1
büro,10,0,1
chor,10,0,1
club,10,0,1
dadurch,10,0,1
dame,10,0,1
darin,10,0,1
darstellen,10,0,1
darum,10,0,1
darunter,10,0,1
datum,10,0,1
dauern,10,0,1
deutsche,10,0,1
dienen,10,0,1
dienst,10,0,1
diesmal,10,0,1
ding,10,0,1
diskussion,10,0,1
diskutieren,10,0,1
dorf,10,0,1
drehen,10,0,1
drittel,10,0,1
druck,10,0,1
durchaus,10,0,1
durchführen,10,0,1
durchsetzen,10,0,1
echt,10,0,1
eindruck,10,0,1
einrichtung,10,0,1
einst,10,0,1
einstellen,10,0,1
eintritt,10,0,1
elf,10,0,1
enden,10,0,1
endgültig,10,0,1
endlich,10,0,1
energie,10,0,1
eng,10,0,1
engagement,10,0,1
entdecken,10,0,1
entfernt,10,0,1
enthalten,10,0,1
entschieden,10,0,1
entwickelt,10,0,1
erfahren,10,0,1
erfahrung,10,0,1
erfolgen,10,0,1
ergeben,10,0,1
erheblich,10,0,1
erhöhen,10,0,1
erinnern,10,0,1
erinnerung,10,0,1
erkennen,10,0,1
erleben,10,0,1
eröffnen,10,0,1
erster,10,0,1
erwachsen,10,0,1
evangelisch,10,0,1
ex,10,0,1
experte,10,0,1
fahrer,10,0,1
fahrt,10,0,1
fahrzeug,10,0,1
fallen,10,0,1
fällen,10,0,1
falsch,10,0,1
fan,10,0,1
farbe,10,0,1
fehler,10,0,1
fernsehen,10,0,1
feststellen,10,0,1
feuerwehr,10,0,1
finale,10,0,1
finanziell,10,0,1
fördern,10,0,1
forderung,10,0,1
form,10,0,1
fraktion,10,0,1
franken,10,0,1
freiwillig,10,0,1
freude,10,0,1
früher,10,0,1
fühlen,10,0,1
fünfter,10,0,1
fuß,10,0,1
gastgeber,10,0,1
gebäude,10,0,1
gebiet,10,0,1
geboren,10,0,1
geburtstag,10,0,1
gedanke,10,0,1
gefahr,10,0,1
gefährlich,10,0,1
gefallen,10,0,1
gefühl,10,0,1
gegner,10,0,1
gelände,10,0,1
gelangen,10,0,1
gelegenheit,10,0,1
gelt,10,0,1
gelungen,10,0,1
gemeinderat,10,0,1
genannt,10,0,1
generation,10,0,1
genießen,10,0,1
genug,10,0,1
geraten,10,0,1
gering,10,0,1
geschäftsführer,10,0,1
geschehen,10,0,1
geschlossen,10,0,1
gesetz,10,0,1
gesetzt,10,0,1
gesicht,10,0,1
gestalten,10,0,1
gewalt,10,0,1
gewerkschaft,10,0,1
gewinn,10,0,1
gewiss,10,0,1
gleichzeitig,10,0,1
glück,10,0,1
gmbh,10,0,1
gott,10,0,1
gottesdienst,10,0,1
grad,10,0,1
grenze,10,0,1
grün,10,0,1
gründen,10,0,1
halb,10,0,1
hälfte,10,0,1
halle,10,0,1
hart,10,0,1
häufig,10,0,1
hauptstadt,10,0,1
haushalt,10,0,1
heftig,10,0,1
heimat,10,0,1
heimisch,10,0,1
heiß,10,0,1
her,10,0,1
herbst,10,0,1
herrschen,10,0,1
herz,10,0,1
heutig,10,0,1
hingegen,10,0,1
hintergrund,10,0,1
hinweis,10,0,1
historisch,10,0,1
hoffnung,10,0,1
höhepunkt,10,0,1
holen,10,0,1
hören,10,0,1
hotel,10,0,1
hund,10,0,1
immerhin,10,0,1
informieren,10,0,1
infos,10,0,1
initiative,10,0,1
innerhalb,10,0,1
insbesondere,10,0,1
institut,10,0,1
interessant,10,0,1
interessiert,10,0,1
interview,10,0,1
italienisch,10,0,1
jährlich,10,0,1
jahrzehnt,10,0,1
jedenfalls,10,0,1
jemand,10,0,1
job,10,0,1
junge,10,0,1
kämpfen,10,0,1
kandidat,10,0,1
karte,10,0,1
katholisch,10,0,1
kaufen,10,0,1
kindergarten,10,0,1
kino,10,0,1
koalition,10,0,1
kollege,10,0,1
kommission,10,0,1
komplett,10,0,1
konflikt,10,0,1
konkret,10,0,1
konkurrenz,10,0,1
kontakt,10,0,1
kontrolle,10,0,1
konzept,10,0,1
konzern,10,0,1
krankenhaus,10,0,1
kritik,10,0,1
kultur,10,0,1
künstler,10,0,1
kurs,10,0,1
lage,10,0,1
landen,10,0,1
langsam,10,0,1
längst,10,0,1
lauf,10,0,1
laufend,10,0,1
lauten,10,0,1
lediglich,10,0,1
lehrer,10,0,1
leider,10,0,1
leisten,10,0,1
leiten,10,0,1
leiter,10,0,1
leitung,10,0,1
lesen,10,0,1
licht,10,0,1
liebe,10,0,1
lied,10,0,1
liefern,10,0,1
liga,10,0,1
linie,10,0,1
links,10,0,1
liste,10,0,1
lösen,10,0,1
lösung,10,0,1
luft,10,0,1
macht,10,0,1
manager,10,0,1
manchmal,10,0,1
maßnahme,10,0,1
medium,10,0,1
mehrheit,10,0,1
meinung,10,0,1
meister,10,0,1
melden,10,0,1
menge,10,0,1
mindestens,10,0,1
minister,10,0,1
ministerpräsident,10,0,1
mittel,10,0,1
mittlerweile,10,0,1
modell,10,0,1
modern,10,0,1
möglichst,10,0,1
moment,10,0,1
morgen,10,0,1
motto,10,0,1
museum,10,0,1
musikalisch,10,0,1
musiker,10,0,1
nachmittag,10,0,1
nachricht,10,0,1
nahe,10,0,1
nähe,10,0,1
national,10,0,1
natur,10,0,1
nein,10,0,1
neun,10,0,1
niederlage,10,0,1
niemand,10,0,1
normal,10,0,1
nötig,10,0,1
notwendig,10,0,1
nummer,10,0,1
oben,10,0,1
offenbar,10,0,1
öffentlichkeit,10,0,1
offiziell,10,0,1
ohnehin,10,0,1
organisation,10,0,1
organisieren,10,0,1
österreichisch,10,0,1
paar,10,0,1
parlament,10,0,1
partie,10,0,1
partner,10,0,1
passieren,10,0,1
patient,10,0,1
pause,10,0,1
pfalz,10,0,1
pfarrer,10,0,1
plötzlich,10,0,1
polizist,10,0,1
position,10,0,1
post,10,0,1
praktisch,10,0,1
produkt,10,0,1
professor,10,0,1
prozess,10,0,1
qualität,10,0,1
rang,10,0,1
rat,10,0,1
rathaus,10,0,1
rechts,10,0,1
rede,10,0,1
reden,10,0,1
reform,10,0,1
regel,10,0,1
regelmäßig,10,0,1
reich,10,0,1
reichen,10,0,1
reihe,10,0,1
rein,10,0,1
reise,10,0,1
rennen,10,0,1
retten,10,0,1
richten,10,0,1
richter,10,0,1
rufen,10,0,1
runde,10,0,1
russisch,10,0,1
sammeln,10,0,1
satz,10,0,1
schaden,10,0,1
scheitern,10,0,1
schilling,10,0,1
schließen,10,0,1
schloss,10,0,1
schluss,10,0,1
schritt,10,0,1
schwach,10,0,1
schwarz,10,0,1
schwierig,10,0,1
sekunde,10,0,1
selten,10,0,1
senior,10,0,1
serie,10,0,1
sicherheit,10,0,1
sichern,10,0,1
sicht,10,0,1
sieger,10,0,1
singen,10,0,1
sinken,10,0,1
sinn,10,0,1
sitzung,10,0,1
sofort,10,0,1
sogenannt,10,0,1
sohn,10,0,1
soldat,10,0,0
somit,10,0,0
sonst,10,0,0
sorge,10,0,0
sowohl,10,0,0
sparen,10,0,0
spaß,10,0,0
spät,10,0,0
speziell,10,0,0
spitze,10,0,0
sport,10,0,0
sportlich,10,0,0
sprache,10,0,0
sprecher,10,0,0
spur,10,0,0
staatlich,10,0,0
staatsanwaltschaft,10,0,0
stadion,10,0,0
stadtrat,10,0,0
stammen,10,0,0
stand,10,0,0
ständig,10,0,0
standort,10,0,0
start,10,0,0
stecken,10,0,0
stein,10,0,0
stets,10,0,0
stiftung,10,0,0
stimmen,10,0,0
stimmung,10,0,0
stoßen,10,0,0
strecke,10,0,0
streit,10,0,0
student,10,0,0
studie,10,0,0
suche,10,0,0
system,10,0,0
szene,10,0,0
täglich,10,0,0
tat,10,0,0
täter,10,0,0
tatsächlich,10,0,0
technik,10,0,0
technisch,10,0,0
teilnehmen,10,0,0
teilnehmer,10,0,0
teilweise,10,0,0
termin,10,0,0
teuer,10,0,0
text,10,0,0
tief,10,0,0
tier,10,0,0
tisch,10,0,0
tochter,10,0,0
tod,10,0,0
toll,10,0,0
tot,10,0,0
töten,10,0,0
traditionell,10,0,0
treten,10,0,0
trotzdem,10,0,0
truppe,10,0,0
tür,10,0,0
türkisch,10,0,0
turnier,10,0,0
tv,10,0,0
überraschen,10,0,0
überzeugen,10,0,0
übrig,10,0,0
übrigens,10,0,0
umfassen,10,0,0
umsatz,10,0,0
umsetzen,10,0,0
unbekannt,10,0,0
unfall,10,0,0
union,10,0,0
universität,10,0,0
unser-,10,0,0
untergeben,10,0,0
unterschiedlich,10,0,0
unterstützung,10,0,0
untersuchung,10,0,0
unterwegs,10,0,0
ursprünglich,10,0,0
urteil,10,0,0
verantwortlich,10,0,0
verband,10,0,0
verbandsgemeinde,10,0,0
verbessern,10,0,0
verbinden,10,0,0
verbindung,10,0,0
verdienen,10,0,0
verfahren,10,0,0
vergangenheit,10,0,0
vergeben,10,0,0
vergessen,10,0,0
vergleich,10,0,0
verhältnis,10,0,0
verhandlung,10,0,0
verhindern,10,0,0
verkauf,10,0,0
verkauft,10,0,0
verkehr,10,0,0
verlag,10,0,0
verlangen,10,0,0
verlassen,10,0,0
verlust,10,0,0
vermutlich,10,0,0
verschwinden,10,0,0
versprechen,10,0,0
versuch,10,0,0
vertrag,10,0,0
vertreten,10,0,0
vertreter,10,0,0
verwaltung,10,0,0
verweisen,10,0,0
verwenden,10,0,0
verzichten,10,0,0
viert,10,0,0
volk,10,0,0
vorbereiten,10,0,0
vorjahr,10,0,0
vorliegen,10,0,0
vorschlag,10,0,0
vorsitzender,10,0,0
vorstellung,10,0,0
vortrag,10,0,0
vorwerfen,10,0,0
vorwurf,10,0,0
wachsen,10,0,0
wagen,10,0,0
wahr,10,0,0
wahrscheinlich,10,0,0
wald,10,0,0
warnen,10,0,0
wechseln,10,0,0
weder,10,0,0
weise,10,0,0
weiterhin,10,0,0
weltweit,10,0,0
werfen,10,0,0
wesentlich,10,0,0
westen,10,0,0
wettbewerb,10,0,0
wetter,10,0,0
winter,10,0,0
wirken,10,0,0
wirtschaftlich,10,0,0
wobei,10,0,0
wohnung,10,0,0
wunsch,10,0,0
wünschen,10,0,0
zahlen,10,0,0
zeichen,10,0,0
zentrum,10,0,0
zufolge,10,0,0
zufrieden,10,0,0
zug,10,0,0
zugleich,10,0,0
zumindest,10,0,0
zurückkehren,10,0,0
zusammenarbeit,10,0,0
zusammenhang,10,0,0
zuständig,10,0,0
zwölf,10,0,0
abbauen,11,0,0
abfahrt,11,0,0
abnehmen,11,0,0
absagen,11,0,0
abschied,11,0,0
absehen,11,0,0
absolvieren,11,0,0
abstand,11,0,0
abstimmung,11,0,0
abteilung,11,0,0
abwehr,11,0,0
adresse,11,0,0
agentur,11,0,0
akteur,11,0,0
aktivität,11,0,0
akzeptieren,11,0,0
alkohol,11,0,0
alleine,11,0,0
alltag,11,0,0
allzu,11,0,0
alternative,11,0,0
amerikaner,11,0,0
anbieter,11,0,0
andererseits,11,0,0
änderung,11,0,0
anerkennung,11,0,0
anfangen,11,0,0
anfrage,11,0,0
angeben,11,0,0
angehen,11,0,0
angehören,11,0,0
angehöriger,11,0,0
angeklagte,11,0,0
angenommen,11,0,0
angesicht,11,0,0
angestellte,11,0,0
anhalten,11,0,0
anhänger,11,0,0
ankommen,11,0,0
anlässlich,11,0,0
anlegen,11,0,0
annehmen,11,0,0
anschlag,11,0,0
anschluss,11,0,0
ansehen,11,0,0
ansonsten,11,0,0
ansprechen,11,0,0
anwalt,11,0,0
anwesend,11,0,0
anwohner,11,0,0
anzeige,11,0,0
apotheke,11,0,0
arbeiter,11,0,0
arbeitgeber,11,0,0
arbeitnehmer,11,0,0
arbeitslose,11,0,0
arbeitslosigkeit,11,0,0
arbeitsmarkt,11,0,0
architekt,11,0,0
argument,11,0,0
arm,11,0,0
armee,11,0,0
artikel,11,0,0
atmosphäre,11,0,0
attraktiv,11,0,0
aufbau,11,0,0
auffallen,11,0,0
aufführung,11,0,0
aufgeben,11,0,0
aufheben,11,0,0
auflage,11,0,0
aufmerksam,11,0,0
aufnahme,11,0,0
aufrufen,11,0,0
aufsichtsrat,11,0,0
aufstellen,11,0,0
aufstieg,11,0,0
auftakt,11,0,0
auftauchen,11,0,0
ausbau,11,0,0
ausbauen,11,0,0
ausdruck,11,0,0
auseinandersetzung,11,0,0
ausfallen,11,0,0
ausgeben,11,0,0
ausgerechnet,11,0,0
ausgesprochen,11,0,0
ausgezeichnet,11,0,0
ausgleich,11,0,0
auskunft,11,0,0
ausländer,11,0,0
ausländisch,11,0,0
auslösen,11,0,0
ausmachen,11,0,0
ausnahme,11,0,0
ausreichend,11,0,0
ausschließen,11,0,0
ausschließlich,11,0,0
ausschuss,11,0,0
außen,11,0,0
außenminister,11,0,0
außerhalb,11,0,0
äußerst,11,0,0
aussetzen,11,0,0
aussicht,11,0,0
ausstellen,11,0,0
auswahl,11,0,0
auswirkung,11,0,0
auszeichnung,11,0,0
autobahn,11,0,0
autofahrer,11,0,0
basis,11,0,0
bayerisch,11,0,0
bedarf,11,0,0
bedeutend,11,0,0
bedingung,11,0,0
befreien,11,0,0
befürchten,11,0,0
begegnung,11,0,0
begehen,11,0,0
begeistern,11,0,0
begeistert,11,0,0
begriff,11,0,0
begründen,11,0,0
begründung,11,0,0
begrüßen,11,0,0
behalten,11,0,0
behandeln,11,0,0
behandlung,11,0,0
behaupten,11,0,0
bein,11,0,0
beinahe,11,0,0
belasten,11,0,0
belastung,11,0,0
belegen,11,0,0
belegt,11,0,0
beliebt,11,0,0
bemühen,11,0,0
benötigen,11,0,0
benutzen,11,0,0
beobachten,11,0,0
beraten,11,0,0
beratung,11,0,0
berg,11,0,0
berücksichtigen,11,0,0
beruflich,11,0,0
berühmt,11,0,0
beschäftigter,11,0,0
beschluss,11,0,0
besetzen,11,0,0
besitzen,11,0,0
besitzer,11,0,0
bestätigt,11,0,0
bestreiten,11,0,0
besucht,11,0,0
beteiligung,11,0,0
betrachten,11,0,0
betrag,11,0,0
betreffen,11,0,0
betreiben,11,0,0
betreuen,11,0,0
betreuung,11,0,0
betroffene,11,0,0
bett,11,0,0
bewegen,11,0,0
bewegt,11,0,0
beweis,11,0,0
bewerben,11,0,0
bewohner,11,0,0
bewusst,11,0,0
bezeichnet,11,0,0
beziehen,11,0,0
beziehungsweise,11,0,0
bier,11,0,0
bilanz,11,0,0
bildung,11,0,0
billig,11,0,0
bischof,11,0,0
bitte,11,0,0
blatt,11,0,0
blau,11,0,0
blicken,11,0,0
bloß,11,0,0
blut,11,0,0
börse,11,0,0
